License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,SEE Category,Entity Name,DBA,Location ID,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Latitude,Longitude,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Cultivation Indoor,Cultivation Outdoor,Cultivation Mixed Light,Cultivation Combination,Cultivation Activities Drying Curing,Cultivation Activities Storage,Cultivation Activities Packaging,Cultivation Activities Waste Rendering,Processing Activities Extraction,Processing Activities Blending and Infusing,Processing Activities Packaging and Labeling,Processing Activities Branding,Retail Activities Sales with Delivery,Retail Activities Sales No Delivery,Retail Activities Non-Cannabis Products,Retail Activities Drive Thru,Retail Date Opened to Public,Hours of Operation,Primary Contact Name
OCM-DIST-24-000020,Adult-Use Distributor License,OCMDIST,Active,LICACT,05/14/2024 12:00:00 AM,05/14/2024 12:00:00 AM,05/14/2026 12:00:00 AM,OCMDIST-2023-000245,Minority-Owned Business,1HQ Inc,,DCB9EBA4-EE04-48A5-8DE2-BF0B94CB7B70,,,,,,Dutchess,Mid-Hudson,,,,Active,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Edwin Perez
OCM-PROC-24-000144,Adult-Use Processor License,OCMPROC,Active,LICACT,10/16/2024 12:00:00 AM,10/16/2024 12:00:00 AM,10/16/2026 12:00:00 AM,OCMPROC-2023-000343,Minority-Owned Business,1HQ Inc,,76A21507-6AEF-4B1A-BEA2-978FF53B8E19,,,,,,Dutchess,Mid-Hudson,,,,Active,Adult-Use Processing,,Type 1 - Extracting,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,,Edwin Perez
OCM-RETL-24-000081,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-000372,,1WILDE1 LLC,WILDE ROOTS DISPENSARY,AABB7530-814B-43E8-BD58-C3FDA2D9BB79,4179 State Route 20,,Castleton,NY,12033,Rensselaer,Capital District,42.5419189,-73.6660971,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12/07/2024 12:00:00 AM,Sun: 09:00 AM - 09:00 PM; Mon: 09:00 AM - 09:00 PM; Tues: 09:00 AM - 09:00 PM; Wed: 09:00 AM - 09:00 PM; Thurs: 09:00 AM - 09:00 PM; Fri: 09:00 AM - 09:00 PM; Sat: 09:00 AM - 09:00 PM,Michael Wilde
OCM-CAURD-24-000096,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,03/05/2024 12:00:00 AM,03/05/2024 12:00:00 AM,03/05/2026 12:00:00 AM,OCMCAURDP-2023-000025,,201 East 30th Corp.,SMILEY EXOTICS,40CCC718-1ED9-4502-9638-1E6ABECFE546,201 E 30th St,,New York,NY,10016,New York,Manhattan,,,,Active,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,03/29/2024 12:00:00 AM,Sun: 08:00 AM - 01:30 AM; Mon: 08:00 AM - 01:30 AM; Tues: 08:00 AM - 01:30 AM; Wed: 08:00 AM - 01:30 AM; Thurs: 08:00 AM - 01:30 AM; Fri: 08:00 AM - 01:30 AM; Sat: 08:00 AM - 01:30 AM,HEIDY PALMER
OCM-CAURD-24-000217,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,11/08/2024 12:00:00 AM,11/08/2024 12:00:00 AM,11/08/2026 12:00:00 AM,OCMCAURDP-2024-000025,,212Partners,Stashmaster,CA0BF7A3-B2EE-4B39-816E-C4AD350FF313,1119 Broadway,,Brooklyn,NY,11221,Kings,Brooklyn,,,,Active,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12/21/2024 12:00:00 AM,Sun: 09:00 AM - 11:00 PM; Mon: 09:00 AM - 11:00 PM; Tues: 09:00 AM - 11:00 PM; Wed: 09:00 AM - 11:00 PM; Thurs: 09:00 AM - 12:00 AM; Fri: 09:00 AM - 05:00 PM; Sat: 07:00 PM - 02:00 AM,Arthur Abramov
OCM-RETL-24-000021,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,03/21/2026 12:00:00 AM,OCMRETL-2023-001377,Minority-Owned Business,2147 44th LLC,,B4900E33-4058-4133-ABBA-5DCDB6E78661,2147 44th Dr,,Long Island City,NY,11101,Queens,Queens,40.747982,-73.9455,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Alexander Chan
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001496,,2601 Genesee LLC,,5A71E11C-F903-4862-8215-50A65F5A7A63,2601 Genesee St,,Buffalo,NY,14225,Erie,Western NY,42.92146,-78.78601,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Manjit Kaur Multani
OCM-PROC-24-000104,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000320,,269 Fulton St LLC,,36829E12-7FE2-44C8-9507-BECF87457F68,,,,,,Nassau,Long Island,,,,Active,Adult-Use Processing,,Type 2 - Infusing and Blending,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,Gabriel Sarikov
OCM-RETL-24-000267,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,12/19/2024 12:00:00 AM,12/19/2024 12:00:00 AM,12/19/2026 12:00:00 AM,OCMRETL-2023-002068,,296 Retail Venture LLC,,81881A76-EA95-4036-911F-EDEDBC2D04E6,296 Route 59,,Airmont,NY,10901,Rockland,Mid-Hudson,41.11189,-74.10081,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Michael Rosenblum
OCM-RETL-24-000254,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,11/26/2024 12:00:00 AM,11/26/2024 12:00:00 AM,11/26/2026 12:00:00 AM,OCMRETL-2023-001992,Service-Disabled Veteran-Owned Business,2 Forest Park Lane LLC,Charlie Fox,8DAFA9DC-1C8B-4A35-947D-D91C04621538,719 7th Ave,,New York,NY,10036,New York,Manhattan,40.759826,-73.984057,shopcharliefox.com,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12/09/2024 12:00:00 AM,Sun: 08:00 AM - 11:45 PM; Mon: 08:00 AM - 11:45 PM; Tues: 08:00 AM - 11:45 PM; Wed: 08:00 AM - 11:45 PM; Thurs: 08:00 AM - 11:45 PM; Fri: 08:00 AM - 11:45 PM; Sat: 08:00 AM - 11:45 PM,WILLIAM Norgard
,Adult-Use Distributor License,OCMDIST2,In-Process,Pending,,,,OCMDIST2-2024-000008,,2X Baked Llc,,A35B48BA-F4B1-41E0-842A-A1C3FCC8A486,,,,,,Nassau,Long Island,,,,Non-Operational,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Richard Inguanta
OCM-PROC-24-000099,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000032,Women-Owned Business,2X Baked Llc,,095E3BB8-A7EE-4CC4-BB97-720E77903285,,,,,,Nassau,Long Island,,,,Active,Adult-Use Processing,,Type 1 - Extracting,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,,Richard Inguanta
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001401,,315Exotics Inc.,,E22B0B97-CD90-4E96-B498-06C190236F37,4 W Main St,,Sodus,NY,14551,Wayne,Finger Lakes,43.236315,-77.061729,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Andrew Sick
OCM-CAURD-24-000187,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,08/09/2024 12:00:00 AM,08/09/2024 12:00:00 AM,08/09/2026 12:00:00 AM,OCMCAURDP-2023-000208,,3 - 5 HOLDINGS LLC,The Highly Connected Dispensary,3493BA1F-F221-49AE-9B26-C6D1F77D09A7,423 Franklin St,,Ithaca,NY,14850,Tompkins,Southern Tier,,,,Active,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,09/09/2024 12:00:00 AM,Sun: 11:00 AM - 06:00 PM; Mon: 10:00 AM - 08:00 PM; Tues: 10:00 AM - 08:00 PM; Wed: 10:00 AM - 08:00 PM; Thurs: 10:00 AM - 08:00 PM; Fri: 10:00 AM - 08:00 PM; Sat: 10:00 AM - 08:00 PM,WENDY MATESANZ
OCM-RETL-25-000281,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,01/06/2025 12:00:00 AM,01/06/2025 12:00:00 AM,01/06/2027 12:00:00 AM,OCMRETL-2023-001413,Minority-Owned Business,3714 34th LLC,,5E2F8DF2-705D-44E5-BDEA-EC2168D6ED3D,3714 34th St,,Long Island City,NY,11101,Queens,Queens,40.753453,-73.929135,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Zehong Xin
OCM-RETL-24-000082,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-000413,"Minority-Owned Business, Women-Owned Business",3807 harlem Cannabis LLC,,60B80D76-1426-4490-95F2-7EDCB46DCA51,3807 Harlem Rd,,Buffalo,NY,14215,Erie,Western NY,42.9474306,-78.7838475,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,07/05/2024 12:00:00 AM,Sun: 12:00 PM - 07:00 PM; Mon: 10:00 AM - 10:00 PM; Tues: 10:00 AM - 10:00 PM; Wed: 10:00 AM - 10:00 PM; Thurs: 10:00 AM - 10:00 PM; Fri: 10:00 AM - 10:00 PM; Sat: 10:00 AM - 10:00 PM,Rupinder Kaur
OCM-RETL-25-000314,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/25/2025 12:00:00 AM,03/25/2025 12:00:00 AM,03/25/2027 12:00:00 AM,OCMRETL-2023-001565,,"3 Guys Canna, LLC",,2F81A28C-570D-4FBC-95DF-E0D4AAC27E91,145 Ganson St,,Buffalo,NY,14203,Erie,Western NY,42.864088,-78.869823,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Joseph Carubba
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000073,,3M Squared LLC,,LID015,898 Gerard Ave,,Bronx,NY,10452,Bronx,,40.82818842,-73.92445064,,Non-Operational,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,,
OCM-RETL-24-000014,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,03/04/2026 12:00:00 AM,OCMRETL-2023-001102,"Minority-Owned Business, Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition","4081 Companies, LLC",,852A6235-921A-4863-AA42-21C0C922A8D0,772 Nostrand Ave,,Brooklyn,NY,11216,Kings,Brooklyn,40.672247,-73.950427,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Jean Gordon
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000946,,"4081House, LLC",,37396727-38D1-49D1-B5AA-BBF7E70BC2E5,9458 221st St,,Queens Village,NY,11428,Queens,Queens,40.719912,-73.733583,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Jocelyn Verna
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001369,,"4081House, LLC",,13C71073-CA69-405A-A586-ED4781773536,158-160 Remsen St,,Cohoes,NY,12047,Albany,Capital District,42.772305,-73.701088,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Jocelyn Verna
OCM-CAURD-24-000133,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,04/19/2024 12:00:00 AM,04/19/2024 12:00:00 AM,04/19/2026 12:00:00 AM,OCMCAURDP-2023-000196,,"4081 Industries, LLC",TRANSCEND WELLNESS PRODUCTS & SERVICES,1CDBC378-62BC-4DF2-8AF2-9A147163E740,289 Oakwood Ave Ste D,,Troy,NY,12182,Rensselaer,Capital District,,,,Active,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12/06/2024 12:00:00 AM,Sun: 10:00 AM - 06:00 PM; Mon: 10:00 AM - 09:00 PM; Tues: 10:00 AM - 09:00 PM; Wed: 10:00 AM - 09:00 PM; Thurs: 10:00 AM - 09:00 PM; Fri: 10:00 AM - 09:00 PM; Sat: 10:00 AM - 09:00 PM,Baptiste Raphael
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000794,,420 Glass Company,,2FCCCF76-1AA4-4B23-AC23-2273C7C9AC49,8555 Seneca Tpke,,New Hartford,NY,13413,Oneida,Mohawk Valley,43.082884,-75.315614,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Todd Shoen
OCM-CULT-24-000185,Adult-Use Cultivator License,OCMCULT,Active,LICACT,11/04/2024 12:00:00 AM,11/04/2024 12:00:00 AM,11/04/2026 12:00:00 AM,OCMCULT-2023-000120,,420 Green Corn LLC,,09F0D2F2-81F4-4ECB-9E0A-E851EEF7415C,,,,,,Columbia,Capital District,,,,Active,Adult-Use Cultivation,CCULT_COMBINATION_T2,,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,Joseph Adornetto
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2023-000230,,420 NY LLC,,LID009,2431 Grand Concourse,,Bronx,NY,10468,Bronx,,40.86104485,-73.89819619,,Non-Operational,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,,
OCM-CAURD-25-000233,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,01/31/2025 12:00:00 AM,01/31/2025 12:00:00 AM,01/31/2027 12:00:00 AM,OCMCAURDP-2024-000100,,420 Wonderland LLC,Just a Little Higher Briarwood,56C10C23-F904-4A1A-8B5C-18B33B4D19BA,138-72 Queens Blvd,,Briarwood,NY,11435,Queens,Queens,,,,Non-Operational,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Kevin Riley
OCM-RETL-24-000259,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,12/10/2024 12:00:00 AM,12/10/2024 12:00:00 AM,12/10/2026 12:00:00 AM,OCMRETL-2023-001132,Women-Owned Business,"463 Station, inc.",The Station,52137AAF-F738-49B3-BE33-157FA2C5831D,463 Main St,,Beacon,NY,12508,Dutchess,Mid-Hudson,41.50211175,-73.96545256,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,01/10/2025 12:00:00 AM,Sun: 10:00 AM - 09:00 PM; Mon: 10:00 AM - 09:00 PM; Tues: 10:00 AM - 09:00 PM; Wed: 10:00 AM - 09:00 PM; Thurs: 10:00 AM - 09:00 PM; Fri: 10:00 AM - 10:00 PM; Sat: 10:00 AM - 10:00 PM,Kamel Jamal
OCM-CULT-24-000003,Adult-Use Cultivator License,OCMCULT,Active,LICACT,02/22/2024 12:00:00 AM,02/22/2024 12:00:00 AM,02/22/2026 12:00:00 AM,OCMCULT-2023-000113,,4 Erratic Farm LLC,,A477F5F9-F72B-459F-BE8B-50A6CDBF7EEE,,,,,,Onondaga,Central NY,,,,Active,Adult-Use Cultivation,CCULT_OUTDOOR_T2,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,David Dzielak
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000062,,"4 Jays, LLC",,LID025,2500 South Rd,,Poughkeepsie,NY,12601,Dutchess,,41.65990699,-73.93022661,,Non-Operational,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,,
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001962,,"4P Group, LLC",,AD7D338C-8158-4B63-8354-5879F8065477,629 Nostrand Ave,,Brooklyn,NY,11216,Kings,Brooklyn,40.675549,-73.949722,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Zonayad Akbar
OCM-MICR-24-000214,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,12/23/2024 12:00:00 AM,12/23/2024 12:00:00 AM,12/23/2026 12:00:00 AM,OCMMICR-2023-000228,"Women-Owned Business, Distressed Farmer",518 Hollow LLC,Five Eighteen Hollow,72846139-849A-493F-A254-C77A5C8251F3,,,,,,Washington,Capital District,,,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution",MICROBUS_MIXED,"Type 3 - Packaging, Labeling, and Branding",0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,,,Jennifer Palulis
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001427,,5514 Myrtle Ave Corp,,51F5B670-58D6-4AA9-9010-FDBA37F6F8E1,55-14 Myrtle Avenue,,Ridgewood,NY,11385,Queens,Queens,40.69991751,-73.90784127,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Jacqueline Kafedjian
,Adult-Use Distributor License,OCMDIST,In-Process,Pending,,,,OCMDIST-2023-000039,,574 INC.,,E440A706-70F1-4BEA-9E42-453E10F67355,,,,,,Queens,Queens,,,,Non-Operational,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ALLAN PEREZ
OCM-RETL-24-000263,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,12/11/2024 12:00:00 AM,12/11/2024 12:00:00 AM,12/11/2026 12:00:00 AM,OCMRETL-2023-001429,,581 REALTY CLD LLC,Cannabis on Lex,17D8A566-7AFB-423D-B22E-980B847CD588,459 Lexington Ave,,New York,NY,10017,New York,Manhattan,40.753672,-73.974209,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,03/13/2025 12:00:00 AM,Sun: 10:00 AM - 08:00 PM; Mon: 08:00 AM - 11:00 PM; Tues: 08:00 AM - 11:00 PM; Wed: 08:00 AM - 11:00 PM; Thurs: 08:00 AM - 11:00 PM; Fri: 08:00 AM - 12:00 AM; Sat: 09:00 AM - 12:00 AM,LOUIS RENZO
OCM-PT3B-25-000044,Adult-Use Processor Type Three-Branding,OCMPT3B,Active,LICACT,04/07/2025 12:00:00 AM,04/07/2025 12:00:00 AM,04/07/2027 12:00:00 AM,OCMPT3B-2024-000050,Minority-Owned Business,5Boro Legacy Corp,,,,,,,,,,,,www.5borocannabisnyc.com,,,,Branding including for the exclusive performance of white labeling agreements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Timothy Auyeung
OCM-CULT-24-000102,Adult-Use Cultivator License,OCMCULT,Active,LICACT,06/12/2024 12:00:00 AM,06/12/2024 12:00:00 AM,06/12/2026 12:00:00 AM,OCMCULT-2023-000202,Women-Owned Business,5 Getby LLC,,37B53DFB-7381-418E-849C-2D3024D3CBB0,,,,,,Suffolk,Long Island,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T1,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,Paulette Davis
